scheduled_at,topic,tone,subject,text,photo_path,posted
2026-05-25 16:02:10 WAT,new music drops,informative,the new Benson Boone album,just got my hands on Benson Boone's new album and his voice is giving me chills on every single track,,False
2026-05-25 16:08:16 WAT,music beef and drama,hype,the apology nobody believed,"that apology from the rapper was such a joke, nobody's buying it after what they did to their former producer",,False
2026-05-25 16:11:01 WAT,concerts and music festivals,casual,Afronation Portugal,just got tix for afronation portugal and im lowkey hyped for wizkid's set gonna be lit,,False
2026-05-25 16:14:17 WAT,celebrity gossip entertainment,hype,the Drake situation,omg is drake really beefing with the weeknd now?? this drama is getting juicier by the minute!!,,False
2026-05-25 16:20:41 WAT,music beef and drama,hype,the beef that nobody expected,"omg did not see that one coming, Juice WRLD's old producer just fired shots at Drake outta nowhere",,False
2026-05-25 16:24:22 WAT,celebrity gossip entertainment,informative,what's happening with Ye right now,"Ye's been pretty quiet lately, wonder what he's cookin up in the studio, hope it's gonna be fire",,False
2026-05-25 16:27:53 WAT,afrobeats music,spicy,Wizkid's influence on the genre,"Wizkid's the real reason afrobeats blew up globally, no debate, he paved the way for everyone else",,False
2026-05-25 16:32:13 WAT,hip hop and rap,hype,conscious rap making a comeback,"Conscious rap is back and its giving me life, lowkey been waiting for this moment for years, J Cole and Kendrick are killin the game",,False
2026-05-25 16:38:04 WAT,behind the scenes music industry,casual,the songwriting camp nobody knew about,just found out about this secret songwriting camp that produced like half the hits last year and im low key salty i didnt know about it sooner,,False
2026-05-25 16:41:26 WAT,music charts and streaming numbers,spicy,Spotify's current top 10,"Spotify's top 10 is lowkey a joke right now, same old songs rotating every week, where's the discovery?",,False
2026-05-25 16:47:09 WAT,movies and TV series,nostalgic,that A24 film everyone's talking about,"just rewatched that new A24 film and lowkey got emotional all over again, the soundtrack still gives me chills",,False
2026-05-25 16:49:58 WAT,afrobeats music,informative,Wizkid's influence on the genre,Wizkid's influence on the genre is amazing. (Fallback due to error),,False
2026-05-25 16:55:42 WAT,hip hop and rap,spicy,conscious rap making a comeback,"Conscious rap is lowkey saving the game right now, no one's pushing boundaries like JID and Denzel Curry, they're the real deal",,False
